
   Time       ET       EvapP   TranspP     Rns        Rnl    RadTerm  AeroTerm     Prec     Interc   ExInterc
    [d]     [mm/d]    [mm/d]    [mm/d] [MJ/m2/d]  [MJ/m2/d]   [mm/d]    [mm/d]    [mm/d]    [mm/d]    [mm/d]

  254.00     4.763     4.763     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  255.00     4.316     4.316     0.000     0.000     0.000     0.000     0.000    28.000     0.000     0.000
  256.00     3.744     3.744     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  257.00     3.628     3.628     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  258.00     3.678     3.678     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  259.00     3.852     3.852     0.000     0.000     0.000     0.000     0.000     0.200     0.000     0.000
  260.00     4.033     4.033     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  261.00     3.763     3.763     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  262.00     3.493     3.493     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  263.00     3.115     3.115     0.000     0.000     0.000     0.000     0.000     2.200     0.000     0.000
  264.00     3.166     3.166     0.000     0.000     0.000     0.000     0.000     0.400     0.000     0.000
  265.00     2.803     2.803     0.000     0.000     0.000     0.000     0.000     5.000     0.000     0.000
  266.00     2.776     2.776     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  267.00     2.601     2.601     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  268.00     2.784     2.784     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  269.00     2.813     2.813     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  270.00     2.937     2.937     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  271.00     3.220     3.220     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  272.00     3.724     3.724     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  273.00     3.960     3.960     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  274.00     3.981     3.981     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  275.00     3.971     3.971     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  276.00     3.310     3.310     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  277.00     3.207     3.207     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  278.00     2.967     2.967     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  279.00     3.048     3.048     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  280.00     3.121     3.121     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  281.00     3.032     3.032     0.000     0.000     0.000     0.000     0.000     0.200     0.000     0.000
  282.00     2.642     2.642     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
  283.00     2.530     2.530     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
end
