 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30. 1.2024    Time:  16:22:54
 Units: L = cm   , T = days , M = mmol 


 Time:      252.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.8400E+02  0.0000E+00
   2    -0.6667  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.8400E+02  0.0000E+00
   3    -1.3401  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.8400E+02  0.0000E+00
   4    -2.0202  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.8400E+02  0.0000E+00
   5    -2.7071  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.8400E+02  0.0000E+00
   6    -3.4007  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.8400E+02  0.0000E+00
   7    -4.1010  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.8400E+02  0.0000E+00
   8    -4.8081  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.8400E+02  0.0000E+00
   9    -5.5219  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.8400E+02  0.0000E+00
  10    -6.2424  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.8400E+02  0.0000E+00
  11    -6.9697  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.8400E+02  0.0000E+00
  12    -7.7037  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.8400E+02  0.0000E+00
  13    -8.4444  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.8400E+02  0.0000E+00
  14    -9.1919  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.8400E+02  0.0000E+00
  15    -9.9461  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.8400E+02  0.0000E+00
  16   -10.7071  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.7100E+02  0.0000E+00
  17   -11.4747  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.7100E+02  0.0000E+00
  18   -12.2492  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.7100E+02  0.0000E+00
  19   -13.0303  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.7100E+02  0.0000E+00
  20   -13.8182  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.7100E+02  0.0000E+00
  21   -14.6128  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.7100E+02  0.0000E+00
  22   -15.4141  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.7100E+02  0.0000E+00
  23   -16.2222  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.7100E+02  0.0000E+00
  24   -17.0370  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.7100E+02  0.0000E+00
  25   -17.8586  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.7100E+02  0.0000E+00
  26   -18.6869  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.7100E+02  0.0000E+00
  27   -19.5219  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.7100E+02  0.0000E+00
  28   -20.3636  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.6500E+02  0.0000E+00
  29   -21.2121  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.6500E+02  0.0000E+00
  30   -22.0673  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.6500E+02  0.0000E+00
  31   -22.9293  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.6500E+02  0.0000E+00
  32   -23.7980  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.6500E+02  0.0000E+00
  33   -24.6734  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.6500E+02  0.0000E+00
  34   -25.5556  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.6500E+02  0.0000E+00
  35   -26.4444  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.6500E+02  0.0000E+00
  36   -27.3401  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.6500E+02  0.0000E+00
  37   -28.2424  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.6500E+02  0.0000E+00
  38   -29.1515  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.6500E+02  0.0000E+00
  39   -30.0673  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.6500E+02  0.0000E+00
  40   -30.9899  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5500E+02  0.0000E+00
  41   -31.9192  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5500E+02  0.0000E+00
  42   -32.8552  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5500E+02  0.0000E+00
  43   -33.7980  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5500E+02  0.0000E+00
  44   -34.7475  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5500E+02  0.0000E+00
  45   -35.7037  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5500E+02  0.0000E+00
  46   -36.6667  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5500E+02  0.0000E+00
  47   -37.6364  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5500E+02  0.0000E+00
  48   -38.6128  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5500E+02  0.0000E+00
  49   -39.5960  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5500E+02  0.0000E+00
  50   -40.5859  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5200E+02  0.0000E+00
  51   -41.5825  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5200E+02  0.0000E+00
  52   -42.5859  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5200E+02  0.0000E+00
  53   -43.5960  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5200E+02  0.0000E+00
  54   -44.6128  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5200E+02  0.0000E+00
  55   -45.6364  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5200E+02  0.0000E+00
  56   -46.6667  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5200E+02  0.0000E+00
  57   -47.7037  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5200E+02  0.0000E+00
  58   -48.7475  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5200E+02  0.0000E+00
  59   -49.7980  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5200E+02  0.0000E+00
  60   -50.8552  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5100E+02  0.0000E+00
  61   -51.9192  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5100E+02  0.0000E+00
  62   -52.9899  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5100E+02  0.0000E+00
  63   -54.0673  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5100E+02  0.0000E+00
  64   -55.1515  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5100E+02  0.0000E+00
  65   -56.2424  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5100E+02  0.0000E+00
  66   -57.3401  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5100E+02  0.0000E+00
  67   -58.4444  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5100E+02  0.0000E+00
  68   -59.5555  -19755.832 0.1000   0.1274E-07  0.6847E-06 -0.1274E-07  0.0000E+00      -1  -0.118E-08   20.00  0.5100E+02  0.0000E+00
