 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30. 1.2024    Time:  16:22:54
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.067     0.450       0.0   0.108E+02     1.000     0.067     1.000     1.000     1.000
    2      0.67     0.067     0.450       0.0   0.108E+02     1.000     0.065     1.000     1.000     1.000
    3      1.34     0.067     0.450       0.0   0.108E+02     1.000     0.064     1.000     1.000     1.000
    4      2.02     0.067     0.450       0.0   0.108E+02     1.000     0.062     1.000     1.000     1.000
    5      2.71     0.067     0.450       0.0   0.108E+02     1.000     0.061     1.000     1.000     1.000
    6      3.40     0.067     0.450       0.0   0.108E+02     1.000     0.059     1.000     1.000     1.000
    7      4.10     0.067     0.450       0.0   0.108E+02     1.000     0.057     1.000     1.000     1.000
    8      4.81     0.067     0.450       0.0   0.108E+02     1.000     0.056     1.000     1.000     1.000
    9      5.52     0.067     0.450       0.0   0.108E+02     1.000     0.054     1.000     1.000     1.000
   10      6.24     0.067     0.450       0.0   0.108E+02     1.000     0.053     1.000     1.000     1.000
   11      6.97     0.067     0.450       0.0   0.108E+02     1.000     0.051     1.000     1.000     1.000
   12      7.70     0.067     0.450       0.0   0.108E+02     1.000     0.049     1.000     1.000     1.000
   13      8.44     0.067     0.450       0.0   0.108E+02     1.000     0.048     1.000     1.000     1.000
   14      9.19     0.067     0.450       0.0   0.108E+02     1.000     0.046     1.000     1.000     1.000
   15      9.95     0.067     0.450       0.0   0.108E+02     1.000     0.045     1.000     1.000     1.000
   16     10.71     0.067     0.450       0.0   0.108E+02     1.000     0.043     1.000     1.000     1.000
   17     11.47     0.067     0.450       0.0   0.108E+02     1.000     0.041     1.000     1.000     1.000
   18     12.25     0.067     0.450       0.0   0.108E+02     1.000     0.039     1.000     1.000     1.000
   19     13.03     0.067     0.450       0.0   0.108E+02     1.000     0.038     1.000     1.000     1.000
   20     13.82     0.067     0.450       0.0   0.108E+02     1.000     0.036     1.000     1.000     1.000
   21     14.61     0.067     0.450       0.0   0.108E+02     1.000     0.034     1.000     1.000     1.000
   22     15.41     0.067     0.450       0.0   0.108E+02     1.000     0.032     1.000     1.000     1.000
   23     16.22     0.067     0.450       0.0   0.108E+02     1.000     0.031     1.000     1.000     1.000
   24     17.04     0.067     0.450       0.0   0.108E+02     1.000     0.029     1.000     1.000     1.000
   25     17.86     0.067     0.450       0.0   0.108E+02     1.000     0.027     1.000     1.000     1.000
   26     18.69     0.067     0.450       0.0   0.108E+02     1.000     0.025     1.000     1.000     1.000
   27     19.52     0.067     0.450       0.0   0.108E+02     1.000     0.023     1.000     1.000     1.000
   28     20.36     0.067     0.450       0.0   0.108E+02     1.000     0.021     1.000     1.000     1.000
   29     21.21     0.067     0.450       0.0   0.108E+02     1.000     0.020     1.000     1.000     1.000
   30     22.07     0.067     0.450       0.0   0.108E+02     1.000     0.018     1.000     1.000     1.000
   31     22.93     0.067     0.450       0.0   0.108E+02     1.000     0.016     1.000     1.000     1.000
   32     23.80     0.067     0.450       0.0   0.108E+02     1.000     0.014     1.000     1.000     1.000
   33     24.67     0.067     0.450       0.0   0.108E+02     1.000     0.012     1.000     1.000     1.000
   34     25.56     0.067     0.450       0.0   0.108E+02     1.000     0.010     1.000     1.000     1.000
   35     26.44     0.067     0.450       0.0   0.108E+02     1.000     0.008     1.000     1.000     1.000
   36     27.34     0.067     0.450       0.0   0.108E+02     1.000     0.006     1.000     1.000     1.000
   37     28.24     0.067     0.450       0.0   0.108E+02     1.000     0.004     1.000     1.000     1.000
   38     29.15     0.067     0.450       0.0   0.108E+02     1.000     0.002     1.000     1.000     1.000
   39     30.07     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   40     30.99     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   41     31.92     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   42     32.86     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   43     33.80     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   44     34.75     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   45     35.70     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   46     36.67     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   47     37.64     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   48     38.61     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   49     39.60     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   50     40.59     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   51     41.58     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   52     42.59     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   53     43.60     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   54     44.61     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   55     45.64     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   56     46.67     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   57     47.70     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   58     48.75     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   59     49.80     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   60     50.86     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   61     51.92     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   62     52.99     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   63     54.07     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   64     55.15     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   65     56.24     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   66     57.34     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   67     58.44     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   68     59.56     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   69     60.67     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   70     61.80     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   71     62.93     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   72     64.07     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   73     65.21     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   74     66.36     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   75     67.52     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   76     68.69     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   77     69.86     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   78     71.04     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
