 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30. 1.2024    Time:  16:22:54
 Units: L = cm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

     252.0010  0.47630E+00  0.00000E+00  0.47630E+00  0.00000E+00 -0.12745E-07  0.47630E-03  0.00000E+00  0.47630E-03  0.00000E+00 -0.12745E-10 -0.22213E+05 -0.19783E+05 -0.19756E+05  0.00000E+00  0.00000E+00  0.99995E+01  0.00000E+00  0.47630E-03      1  0.00000E+00      0.000
     252.8045  0.47630E+00  0.00000E+00  0.64047E-03  0.00000E+00 -0.12745E-07  0.38318E+00  0.00000E+00  0.58806E-02  0.00000E+00 -0.10253E-07 -0.10000E+06 -0.20691E+05 -0.19756E+05  0.00000E+00  0.00000E+00  0.99941E+01  0.00000E+00  0.58806E-02     21  0.00000E+00      0.000
     253.0000  0.47630E+00  0.00000E+00  0.61341E-03  0.00000E+00 -0.12745E-07  0.47630E+00  0.00000E+00  0.60005E-02  0.00000E+00 -0.12745E-07 -0.10000E+06 -0.20697E+05 -0.19756E+05  0.00000E+00  0.00000E+00  0.99940E+01  0.00000E+00  0.60005E-02     22  0.00000E+00      0.000
     253.0495 -0.22237E+01  0.00000E+00 -0.22237E+01  0.00000E+00 -0.12745E-07  0.36622E+00  0.00000E+00 -0.10408E+00  0.00000E+00 -0.13375E-07 -0.32533E+03 -0.18903E+05 -0.19756E+05  0.00000E+00  0.00000E+00  0.10104E+02  0.13366E+00  0.29579E-01     41  0.00000E+00      0.000
     253.1954 -0.22237E+01  0.00000E+00 -0.22237E+01  0.00000E+00 -0.12745E-07  0.41845E-01  0.00000E+00 -0.42846E+00  0.00000E+00 -0.15234E-07 -0.11813E+03 -0.17685E+05 -0.19756E+05  0.00000E+00  0.00000E+00  0.10428E+02  0.52751E+00  0.99058E-01     61  0.00000E+00      0.000
     253.4393 -0.22237E+01  0.00000E+00 -0.22237E+01  0.00000E+00 -0.12745E-07 -0.50052E+00  0.00000E+00 -0.97082E+00  0.00000E+00 -0.18343E-07 -0.72554E+02 -0.16043E+05 -0.19756E+05  0.00000E+00  0.00000E+00  0.10971E+02  0.11861E+01  0.21523E+00     81  0.00000E+00      0.000
     253.7688 -0.22237E+01  0.00000E+00 -0.22237E+01  0.00000E+00 -0.12745E-07 -0.12332E+01  0.00000E+00 -0.17035E+01  0.00000E+00 -0.22542E-07 -0.51700E+02 -0.14120E+05 -0.19756E+05  0.00000E+00  0.00000E+00  0.11703E+02  0.20757E+01  0.37216E+00    101  0.00000E+00      0.000
     254.0000 -0.22237E+01  0.00000E+00 -0.22237E+01  0.00000E+00 -0.12745E-07 -0.17474E+01  0.00000E+00 -0.22177E+01  0.00000E+00 -0.25489E-07 -0.43715E+02 -0.12903E+05 -0.19756E+05  0.00000E+00  0.00000E+00  0.12218E+02  0.27000E+01  0.48230E+00    114  0.00000E+00      0.000
